orginal_tree_names,names_to_use,status,accepted_names,SporeType,Motility,phylum,class,order,family,genus,Life_style,trophicMode,guild,simpleFunct,SporeVolume,spore_length,spore_width,SporeArea,Q_ratio,Number_of_guilds,information,X,X.1,X.2,solving
Acremonium furcatum,Furcasterigmium furcatum,SYNONYM,NA,Mitospores,,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Furcasterigmium,AFree living,Saprotroph,Wood Saprotroph,Saprotroph,NA,3.35,1.85,NA,NA,NA,NA,,,,Acremonium furcatum_3.35_1.85
Acremonium furcatum,Acremonium furcatum,SYNONYM,Furcasterigmium furcatum,Mitospores,,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Furcasterigmium,AFree living,Saprotroph,Wood Saprotroph,Saprotroph,6.003256312,3.35,1.85,4.867505118,1.810810811,1,NA,,,,Acremonium furcatum_3.35_1.85
Actinomucor elegans,Actinomucor elegans,ACCEPTED,Actinomucor elegans,Mitospores,,"""Zygomycetous fungi""",Mucoromycetes,Mucorales,Mucoraceae,Actinomucor,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,397.1496713,8.5,8.5,60.86835766,1,NA,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/actinomucor-elegans,,,,Actinomucor elegans_8.5_8.5
Agaricales sp. HM26F1,Agaricales sp. HM26F1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Agaricales sp. HM26F1_NA_NA
Agaricus bisporus,Agaricus bisporus,ACCEPTED,Agaricus bisporus,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,83.48088709,6.475,4.935,25.20931755,1.308773585,1,"Agaricus bisporus is a terricolous secondary decomposer fungus, which plays an ecologically significant role in the degradation of leaf and needle litter in temperate forests. Soils contain humic compounds derived from modified lignin and other recalcitrant aromatic compounds, presenting a different catabolic challenge to intact woody resources. Thus, A. bisporus forms an important model for carbon sequestration studies to understand the persistence of mycelial material in humus and to determine the role of fungi in bioconversion of plant materials to humic acids. The homobasidiomycete species is arguably the most well studied member of the family Agaricaceae; a large, diverse and economically important group of fungi. Comprehending the carbon cycling role of the Agaricaceae in forests and other ecosystems is a prerequisite to model and optimise carbon management. ; Agaricus genome sequence will provide new opportunities to compare the role of a secondary decomposer in various environmental and developmental fungal processes with other basidiomycete and ascomycetes. Comparisons with the sequenced Polyporales (Postia placenta -brown rot, and P. chrysosporium -white rot) and the mycorrhizal basidiomycetes will provide insight into transitions between different ecological modes (e.g. decomposer, mycorrhizal, white- and brown-rot fungi). ; Fortunately, as the premier cultivated mushroom species, a substantial scientific knowledge base exists for A. bisporus, which forms a solid foundation from which launch comparative analyses of basidiomycota genome sequences. Physiology, metabolism, and development have all been investigated at the molecular level, including: substrate utilization, reproductive development, senescence and morphogenesis expression profiles, control of offspring ploidy at the meiosporangium level, and mechanisms of resistance to bacterial and fungal diseases. ; Significantly, several Agaricus species have potential for bioremediation of substrates contaminated with heavy metals, and these decomposer fungi are more able to hyperaccumulate toxic metals than some mycorrhizal fungi. Full potential of this area will require more extensive research and all these areas will be expedited by availability of genome sequence.",,,,Agaricus bisporus_6.475_4.935
Agaricus bisporus,Agaricus bisporus,ACCEPTED,Agaricus bisporus,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,83.48088709,6.475,4.935,25.20931755,1.308773585,1,"Agaricus bisporus is a terricolous secondary decomposer fungus, which plays an ecologically significant role in the degradation of leaf and needle litter in temperate forests. Soils contain humic compounds derived from modified lignin and other recalcitrant aromatic compounds, presenting a different catabolic challenge to intact woody resources. Thus, A. bisporus forms an important model for carbon sequestration studies to understand the persistence of mycelial material in humus and to determine the role of fungi in bioconversion of plant materials to humic acids. The homobasidiomycete species is arguably the most well studied member of the family Agaricaceae; a large, diverse and economically important group of fungi. Comprehending the carbon cycling role of the Agaricaceae in forests and other ecosystems is a prerequisite to model and optimise carbon management. ; Agaricus genome sequence will provide new opportunities to compare the role of a secondary decomposer in various environmental and developmental fungal processes with other basidiomycete and ascomycetes. Comparisons with the sequenced Polyporales (Postia placenta - brown rot, and P. chrysosporium - white rot) and the mycorrhizal basidiomycetes will provide insight into transitions between different ecological modes (e.g. decomposer, mycorrhizal, white- and brown-rot fungi). ; Fortunately, as the premier cultivated mushroom species, a substantial scientific knowledge base exists for A. bisporus, which forms a solid foundation from which launch comparative analyses of basidiomycota genome sequences. Physiology, metabolism, and development have all been investigated at the molecular level, including: substrate utilization, reproductive development, senescence and morphogenesis expression profiles, control of offspring ploidy at the meiosporangium level, and mechanisms of resistance to bacterial and fungal diseases. ; Significantly, several Agaricus species have potential for bioremediation of substrates contaminated with heavy metals, and these decomposer fungi are more able to hyperaccumulate toxic metals than some mycorrhizal fungi. Full potential of this area will require more extensive research and all these areas will be expedited by availability of genome sequence.",,,,Agaricus bisporus_6.475_4.935
Agaricus bisporus,Agaricus bisporus,SYNONYM,Agaricus bisporus,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,83.48088709,6.475,4.935,25.20931755,1.308773585,1,"Agaricus bisporus is a terricolous secondary decomposer fungus, which plays an ecologically significant role in the degradation of leaf and needle litter in temperate forests. Soils contain humic compounds derived from modified lignin and other recalcitrant aromatic compounds, presenting a different catabolic challenge to intact woody resources. Thus, A. bisporus forms an important model for carbon sequestration studies to understand the persistence of mycelial material in humus and to determine the role of fungi in bioconversion of plant materials to humic acids. The homobasidiomycete species is arguably the most well studied member of the family Agaricaceae; a large, diverse and economically important group of fungi. Comprehending the carbon cycling role of the Agaricaceae in forests and other ecosystems is a prerequisite to model and optimise carbon management. ; Agaricus genome sequence will provide new opportunities to compare the role of a secondary decomposer in various environmental and developmental fungal processes with other basidiomycete and ascomycetes. Comparisons with the sequenced Polyporales (Postia placenta -brown rot, and P. chrysosporium -white rot) and the mycorrhizal basidiomycetes will provide insight into transitions between different ecological modes (e.g. decomposer, mycorrhizal, white- and brown-rot fungi). ; Fortunately, as the premier cultivated mushroom species, a substantial scientific knowledge base exists for A. bisporus, which forms a solid foundation from which launch comparative analyses of basidiomycota genome sequences. Physiology, metabolism, and development have all been investigated at the molecular level, including: substrate utilization, reproductive development, senescence and morphogenesis expression profiles, control of offspring ploidy at the meiosporangium level, and mechanisms of resistance to bacterial and fungal diseases. ; Significantly, several Agaricus species have potential for bioremediation of substrates contaminated with heavy metals, and these decomposer fungi are more able to hyperaccumulate toxic metals than some mycorrhizal fungi. Full potential of this area will require more extensive research and all these areas will be expedited by availability of genome sequence.",,,,Agaricus bisporus_6.475_4.935
Agaricus bisporus,Agaricus bisporus,SYNONYM,Agaricus bisporus,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,83.48088709,6.475,4.935,25.20931755,1.308773585,1,"Agaricus bisporus is a terricolous secondary decomposer fungus, which plays an ecologically significant role in the degradation of leaf and needle litter in temperate forests. Soils contain humic compounds derived from modified lignin and other recalcitrant aromatic compounds, presenting a different catabolic challenge to intact woody resources. Thus, A. bisporus forms an important model for carbon sequestration studies to understand the persistence of mycelial material in humus and to determine the role of fungi in bioconversion of plant materials to humic acids. The homobasidiomycete species is arguably the most well studied member of the family Agaricaceae; a large, diverse and economically important group of fungi. Comprehending the carbon cycling role of the Agaricaceae in forests and other ecosystems is a prerequisite to model and optimise carbon management. ; Agaricus genome sequence will provide new opportunities to compare the role of a secondary decomposer in various environmental and developmental fungal processes with other basidiomycete and ascomycetes. Comparisons with the sequenced Polyporales (Postia placenta - brown rot, and P. chrysosporium - white rot) and the mycorrhizal basidiomycetes will provide insight into transitions between different ecological modes (e.g. decomposer, mycorrhizal, white- and brown-rot fungi). ; Fortunately, as the premier cultivated mushroom species, a substantial scientific knowledge base exists for A. bisporus, which forms a solid foundation from which launch comparative analyses of basidiomycota genome sequences. Physiology, metabolism, and development have all been investigated at the molecular level, including: substrate utilization, reproductive development, senescence and morphogenesis expression profiles, control of offspring ploidy at the meiosporangium level, and mechanisms of resistance to bacterial and fungal diseases. ; Significantly, several Agaricus species have potential for bioremediation of substrates contaminated with heavy metals, and these decomposer fungi are more able to hyperaccumulate toxic metals than some mycorrhizal fungi. Full potential of this area will require more extensive research and all these areas will be expedited by availability of genome sequence.",,,,Agaricus bisporus_6.475_4.935
Agrocybe cylindracea,Agrocybe cylindracea,SYNONYM,Cyclocybe cylindracea,Mitospores,,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Cyclocybe,Facultative association,Saprotroph Patotroph,Wood_Saprotroph-Plant_Pathogen,Plant Pathogen undefined,NA,13,8.5,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/29334897/,,,,Agrocybe cylindracea_13_8.5
Agrocybe cylindracea,Cyclocybe cylindracea,SYNONYM,NA,Mitospores,,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Cyclocybe,Facultative association,Saprotroph Patotroph,Wood_Saprotroph-Plant_Pathogen,Plant Pathogen undefined,491.79015,13,8.5,86.78649706,1.529411765,NA,https://pubmed.ncbi.nlm.nih.gov/29334897/,,,,Agrocybe cylindracea_13_8.5
Albatrellus ellisii,Albatrellus ellisii,ACCEPTED,Albatrellus ellisii,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,Obligate association,Symbiotroph,Ectomycorrhizal,Plant Ectomycorrhizal,243.342531,11,6.5,56.15596868,1.692307692,NA,NA,,,,Albatrellus ellisii_11_6.5
Albatrellus sp. MG142,Albatrellus sp. MG142,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Albatrellus sp. MG142_NA_NA
Albophoma yamanashiensis,Albophoma yamanashiensis,ACCEPTED,Albophoma yamanashiensis,NA,,Ascomycota,NA,NA,NA,Albophoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Albophoma yamanashiensis_NA_NA
Alloascoidea hylecoeti,Alloascoidea hylecoeti,ACCEPTED,Alloascoidea hylecoeti,NA,,Ascomycota,Saccharomycetes,Saccharomycetales,Alloascoideaceae,Alloascoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Alloascoidea hylecoeti_NA_NA
Allomyces macrogynus,Allomyces macrogynus,ACCEPTED,Allomyces macrogynus,Mitospores,zoospore,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Allomyces,AFree living,Saprotroph,Undefined Saprotroph,A_Saprotroph,NA,10,10,NA,NA,NA,"This genome was sequenced by the Broad Institute. ; Description of Allomyces macrogynus has been quoted from Broad. ; According to traditional taxonomy, Allomyces macrogynus was a member of the Blastocladiales in the Chytridiomycota (chytrids), one of the four major phyla of Fungi. As chytrids develop (in most cases uni-) flagellated zoospores (resembling flagellated cells in animals) at various stages of their life cycle, they are also known as zoosporic fungi. Because the Chytridiomycota are not monophyletic in some phylogenetic analyses (although currently without compelling statistical support), they have been subdivided into three phyla: Blastocladiomycota, Chytridiomycota, and Neocallimastigomycota. ; Allomyces macrogynus is found worldwide, particularly in aquatic environments of tropical regions. It alternates between isomorphic sporophytic sexual and gametophytic asexual cycles of growth, producing three forms of uniflagellated cells: mitospores (zoospores), meiospores, and male and female gametes. When encysting, these flagellated cells withdraw their flagellum. Bipolar spore germination then leads to the development of a rhizoidal system, and a thallus that branches into hyphae that are separated by pseudoseptae (i.e., they are not closed but contain pores). The wild-type strain Burma 3-35 (ATCC 38327) is autotetraploid in the sporophytic cycle, and produces diploid gametophytes. Ploidy can be reduced experimentally, which is useful for isolation of mutants and for genetic experiments. For instance, prolonged growth at 35°C or treatment with para-fluoro-phenylalanine reduces diploid cells (28 chromosomes) to haploid (14 chromosomes). Allomyces has been widely used as a teaching aid, to demonstrate sexual reproduction and alternation of generations. ;   ; Credit ;   ;  ",,,,Allomyces macrogynus_10_10
Allomyces macrogynus,Allomyces macrogynus,ACCEPTED,Allomyces macrogynus,Meiospores,zoospore,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Allomyces,AFree living,Saprotroph,Undefined Saprotroph,A_Saprotroph,NA,12,12,NA,NA,NA,"This genome was sequenced by the Broad Institute. ; Description of Allomyces macrogynus has been quoted from Broad. ; According to traditional taxonomy, Allomyces macrogynus was a member of the Blastocladiales in the Chytridiomycota (chytrids), one of the four major phyla of Fungi. As chytrids develop (in most cases uni-) flagellated zoospores (resembling flagellated cells in animals) at various stages of their life cycle, they are also known as zoosporic fungi. Because the Chytridiomycota are not monophyletic in some phylogenetic analyses (although currently without compelling statistical support), they have been subdivided into three phyla: Blastocladiomycota, Chytridiomycota, and Neocallimastigomycota. ; Allomyces macrogynus is found worldwide, particularly in aquatic environments of tropical regions. It alternates between isomorphic sporophytic sexual and gametophytic asexual cycles of growth, producing three forms of uniflagellated cells: mitospores (zoospores), meiospores, and male and female gametes. When encysting, these flagellated cells withdraw their flagellum. Bipolar spore germination then leads to the development of a rhizoidal system, and a thallus that branches into hyphae that are separated by pseudoseptae (i.e., they are not closed but contain pores). The wild-type strain Burma 3-35 (ATCC 38327) is autotetraploid in the sporophytic cycle, and produces diploid gametophytes. Ploidy can be reduced experimentally, which is useful for isolation of mutants and for genetic experiments. For instance, prolonged growth at 35°C or treatment with para-fluoro-phenylalanine reduces diploid cells (28 chromosomes) to haploid (14 chromosomes). Allomyces has been widely used as a teaching aid, to demonstrate sexual reproduction and alternation of generations. ;   ; Credit ;   ;  ",Based on description of A. javanicus which seem to be morphologically similar. Interspecific Hybrids and the Cytogenetics and Cytotaxonomy of Euallomyces,,,Allomyces macrogynus_12_12
